code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
I.eco,"Accommodation, restaurants and cafes",Hébergement et restauration,Gastgewerbe,Ristoranti e alberghi,Gastronomia e hotelaria,الفنادق والمطاعم,Гостиничный бизнес,"Gastronomía y
hotelería
",宿泊・外食,住宿、餐饮业
J.eco,Information and communication,Information et communication,Information und Kommunikation,Informazione e comunicazione,Informação e comunicação,المعلومات والإتصالات,Информация и коммуникация,Información y comunicación,情報通信,信息与通讯业
K.eco,Finace and insurance,Finance et assurance,Kredit- und Versicherungsgewerbe,Finanza e assicurazione,Finanças e seguros,المالية والتأمين,Кредит и страхование,Finanzas y seguros,金融・保険,金融与保险业
LN.eco,"Real estate, administrative activiities","Immobilier, activités administratives","Immobilien, sonstige wirtschaftliche Dienstleistungen","Immobiliare, attività amministrative","Atividades imobiliárias, serviços administrativos,",العقار والأنشطة الإدارية,"Недвижимость, другие услуги в сфере промышленности","Actividades inmobiliarias, servicios administrativos",不動産・事務,房地产、其他经济服务行业
M.eco,"Professional, scientific and technical activities","Act. spécialisées, scientifiques et techniques","Freiberufliche, wissenschaftliche und technische Dienstleistungen",Attività scientifiche e tecniche,Serviços técnicos e científicos,النشاطات المتخصصة، والعلمية، والتقنية,"Свободные профессии, научные и технические услуги",Actividades científicas y técnicas,専門・科学・技術,自由职业、科技服务
OU.eco,Public administration,"Administration publique, act. extra-ter.",Öffentliche Verwaltung,Amministrazione pubblica,Administração pública,الإدارة العامة,Общественное управление,Administración pública,行政,公共行政
P.eco,Education,Enseignement,Erziehung und Unterricht,Insegnamento,Educação,التعليم,Воспитание и преподавание,Educación,教育,教育业
Q.eco,Health and social work,Santé humaine et action sociale,Gesundheits- und Sozialwesen,Sanità e azione sociale,Saúde e assistência social,الصحة والعمل الإجتماعي,Здравоохранение и уход за больными,Salud y asistencia social,医療・社会福祉,保健与社会工作
RST.eco,"Arts, leisure and other private household activities","Arts, loisirs, ménages privés, autres","Kunst, Unterhaltung, private Haushalte, sonstige Dienstleistungen","Arti, divertimento, altro","Artes, lazer e outras atividades privadas no lar",الفنون، والترفيه، والمنازل الخاصة، وقطاعات أخرى,"Искусство, шоу-бизнес, частные домохозяйства, иные услуги","Artes, entretenimiento, tareas domésticas y otros",芸術・娯楽,艺术、休闲及其他私人家政服务及其他服务
SANS.eco,Other activities,Sans indication/Ne sait pas,"Ohne Angaben, unbekannt",Senza indicazione/sconosciuto,Outras atividades,بدون تفاصيل، قطاعات غير معروفة,Другие виды/без данных,Otras actividades,その他,其他
legend.title,Economic sectors,Secteurs économiques,Wirtschaftszweige,Settori economici,Setores econômicos,قطاعات اقتصادية,Отрасли промышленности,Sectores económicos,経済部門,经济领域
legend.descr,Click here to hide or reveal information,(Cliquez pour masquer ou afficher),"(Klicken, um ein- oder auszublenden)",(Cliccate per mostrare o nascondere),Clique aqui para exibir ou ocultar,اضغط للإظهار أو الإخفاء,"(Кликните, чтобы скрыть или развернуть информацию)",Clic para mostrar u ocultar,（クリックで表示・非表示にできます）,点击以隐藏或显示信息
thousandjob.tp,Employment in Switzerland by economic sector,L’emploi en Suisse par secteurs économiques,Beschäftigung in der Schweiz nach Wirtschaftszweig,L'impiego in Svizzera per settori economici,Emprego na Suíça por setor econômico,التشغيل في سويسرا حسب القطاعات الإقتصادية,Занятость в Швейцарии по отраслям промышленности,Empleo en Suiza por sectores económicos,セクター別に見たスイスの雇用,瑞士各经济领域就业情况
